ts,matu,Spot,Fwd,PutOrCall,StrikePrice,ContractMultiplier,ExerciseStyle,bid,ask,sigma,Spread,price,delta,vega,gamma,theta,adjust,calib_ok,Timestamp_txt,Maturity
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4975,10,European,324.7,326.8,14.98510069,0.643293664,325.8408097,-0.983143375,0.29060911,0.000127546,-0.123588548,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,5000,10,European,0.4,0.6,15.48434761,0.643293664,0.4572034,0.009514945,0.236927538,9.351038034740155e-05,-0.096747349,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,5000,10,European,349.5,351.5,15.48434761,0.643293664,350.6801293,-0.98565881,0.236927538,9.351038034740394e-05,-0.096747349,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,5025,10,European,0.3,0.5,16.0037883,0.643293664,0.372399629,0.007669523,0.196098214,6.925080423621555e-05,-0.076535662,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,5025,10,European,374.4,376.5,16.0037883,0.643293664,375.5514042,-0.987504231,0.196098214,6.92508042362161e-05,-0.076535662,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,5050,10,European,0.2,0.4,16.54311004,0.643293664,0.310091905,0.006301501,0.16487549,5.182141465790748e-05,-0.061197969,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,5050,10,European,399.3,401.4,16.54311004,0.643293664,400.4451751,-0.988872254,0.16487549,5.1821414657903944e-05,-0.061197969,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,5075,10,European,0.2,0.4,17.10200582,0.643293664,0.26383611,0.005276759,0.140852833,3.917662702404181e-05,-0.04944411,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,5075,10,European,424.2,426.3,17.10200582,0.643293664,425.354998,-0.989896995,0.140852833,3.917662702404196e-05,-0.04944411,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,5100,10,European,0.1,0.3,17.68017427,0.643293664,0.229204353,0.004501499,0.122255369,2.9900284637516724e-05,-0.040331264,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,5100,10,European,449.1,451.2,17.68017427,0.643293664,450.2764449,-0.990672256,0.122255369,2.990028463751961e-05,-0.040331264,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,5125,10,European,0.1,0.3,18.27731949,0.643293664,0.203125291,0.003909701,0.107775873,2.6014505251736867e-05,-0.037500236,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,5125,10,European,474,476.1,18.27731949,0.643293664,475.2064445,-0.991264054,0.107775873,2.601450525173843e-05,-0.037500236,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
